img_idx,p_psnr,p_ssim,p_tex,p_pdet,p_acc,p_n_ch,c_psnr,c_ssim,c_tex,c_pdet,c_acc,c_n_ch,su_psnr,su_ssim,su_tex,su_pdet,su_acc,su_n_ch,h_psnr,h_ssim,h_tex,h_pdet,h_acc,h_n_ch
1774,65.0964,0.999991,0.2570,0.7418,100.00,1318,65.1931,0.999976,0.1218,0.7445,100.00,1289,71.6866,0.999997,0.1527,0.7418,0.00,289,71.3960,0.999997,0.1595,0.7419,0.00,309
1883,64.9794,0.999993,0.3771,0.5871,100.00,1354,65.0571,0.999915,0.1130,0.6249,100.00,1330,70.9427,0.999997,0.2528,0.5868,0.00,343,70.2533,0.999997,0.2444,0.5868,0.00,402
1944,65.1595,0.999980,0.1922,0.5763,100.00,1299,65.2576,0.999856,0.0487,0.6554,100.00,1270,70.7085,0.999988,0.1526,0.5759,0.00,362,69.5746,0.999993,0.1591,0.5758,0.00,470
1957,65.1562,0.999959,0.1331,0.3311,100.00,1300,65.1262,0.999842,0.0371,0.4971,100.00,1309,71.0581,0.999988,0.1114,0.3243,0.00,334,69.7155,0.999992,0.1429,0.3242,0.00,455
2005,65.0734,0.999995,0.3035,0.8742,100.00,1325,65.1562,0.999960,0.1204,0.8742,100.00,1300,70.9300,0.999998,0.2078,0.8742,0.00,344,70.5322,0.999998,0.2245,0.8742,0.00,377
2054,65.2303,0.999994,0.2827,0.5884,100.00,1278,65.2610,0.999902,0.0920,0.6713,100.00,1269,70.7447,0.999998,0.2323,0.5886,0.00,359,70.2211,0.999998,0.2452,0.5886,0.00,405
2087,65.2269,0.999983,0.1900,0.7925,100.00,1279,65.2507,0.999937,0.0759,0.7923,100.00,1272,71.2713,0.999995,0.1648,0.7925,0.00,318,70.8425,0.999996,0.1837,0.7925,0.00,351
2162,65.1696,0.999978,0.2254,0.3481,100.00,1296,65.1528,0.999836,0.0586,0.5219,100.00,1301,70.2968,0.999993,0.2122,0.3478,0.00,398,69.6869,0.999996,0.2415,0.3477,0.00,458
2213,65.2953,0.999993,0.2783,0.8160,100.00,1259,65.1763,0.999968,0.1153,0.8158,100.00,1294,71.4955,0.999997,0.1718,0.8158,0.00,302,71.0842,0.999997,0.1805,0.8158,0.00,332
2413,65.1528,0.999970,0.2099,0.7682,100.00,1301,64.9826,0.999882,0.0740,0.7819,100.00,1353,71.1634,0.999992,0.1556,0.7682,0.00,326,70.2750,0.999993,0.1771,0.7683,0.00,400
2433,65.0148,0.999977,0.1911,0.0479,100.00,1343,65.1196,0.999841,0.0515,0.1459,100.00,1311,70.3961,0.999995,0.1924,0.0480,0.00,389,69.1272,0.999995,0.2004,0.0480,0.00,521
2439,65.3265,0.999968,0.1667,0.8170,100.00,1250,65.0767,0.999911,0.0657,0.8386,100.00,1324,71.1105,0.999990,0.1487,0.8171,0.00,330,70.0117,0.999991,0.1943,0.8164,0.00,425
